index,bin,src_image,orig_w,orig_h,brightness,scale,pad_l,pad_t
93,images_0093.bin,1575.jpg,719,690,91.03,0.8348,84,0
94,images_0094.bin,1588.jpg,640,384,21.98,1.2,0,57
95,images_0095.bin,1621.jpg,1584,1028,64.58,0.4848,0,39
96,images_0096.bin,1632.jpg,640,384,6.01,1.2,0,57
97,images_0097.bin,1653.jpg,901,1615,85.58,0.3567,223,0
98,images_0098.bin,1676.jpg,640,384,44.77,1.2,0,57
99,images_0099.bin,1678.jpg,640,384,73.51,1.2,0,57
100,images_0100.bin,1728.jpg,2000,1858,61.39,0.31,74,0
101,images_0101.bin,1768.jpg,640,384,110.2,1.2,0,57
102,images_0102.bin,1776.jpg,640,384,30.28,1.2,0,57
103,images_0103.bin,1786.jpg,953,769,79.62,0.749,27,0
104,images_0104.bin,1809.jpg,1920,1080,39.1,0.4,0,72
105,images_0105.bin,1818.jpg,640,384,8.04,1.2,0,57
106,images_0106.bin,1838.jpg,640,384,168.21,1.2,0,57
107,images_0107.bin,1846.jpg,640,384,57.98,1.2,0,57
108,images_0108.bin,1876.jpg,1280,768,88.51,0.6,0,57
109,images_0109.bin,1894.jpg,640,384,43.26,1.2,0,57
110,images_0110.bin,1895.jpg,640,384,76.03,1.2,0,57
111,images_0111.bin,1939.jpg,640,384,71.63,1.2,0,57
112,images_0112.bin,1950.jpg,1012,2000,28.91,0.288,238,0
113,images_0113.bin,1952.jpg,640,384,87.88,1.2,0,57
114,images_0114.bin,1961.jpg,640,384,32.32,1.2,0,57
115,images_0115.bin,1992.jpg,640,384,64.57,1.2,0,57
116,images_0116.bin,2010.jpg,1920,1080,37.73,0.4,0,72
117,images_0117.bin,2049.jpg,1291,1665,82.07,0.3459,160,0
118,images_0118.bin,2060.jpg,1280,1024,7.26,0.5625,24,0
119,images_0119.bin,2064.jpg,1280,768,50.08,0.6,0,57
120,images_0120.bin,2083.jpg,1280,1024,46.47,0.5625,24,0
121,images_0121.bin,2109.jpg,640,384,65.02,1.2,0,57
122,images_0122.bin,2118.jpg,552,569,21.92,1.0123,104,0
123,images_0123.bin,2142.jpg,1920,1080,38.76,0.4,0,72
124,images_0124.bin,2159.jpg,640,384,80.54,1.2,0,57
125,images_0125.bin,2179.jpg,640,384,62.91,1.2,0,57
126,images_0126.bin,2232.jpg,877,1649,85.9,0.3493,231,0
127,images_0127.bin,2234.jpg,1920,1080,37.72,0.4,0,72
128,images_0128.bin,2242.jpg,640,384,3.09,1.2,0,57
129,images_0129.bin,2256.jpg,1625,1378,65.51,0.418,44,0
130,images_0130.bin,2295.jpg,1920,1080,68.11,0.4,0,72
131,images_0131.bin,2336.jpg,640,384,71.15,1.2,0,57
