index,bin,src_image,orig_w,orig_h,brightness,scale,pad_l,pad_t
93,image_0093.bin,1575.jpg,719,690,91.03,0.8901,0,0
94,image_0094.bin,1588.jpg,640,384,21.98,1.0,0,0
95,image_0095.bin,1621.jpg,1584,1028,64.58,0.404,0,0
96,image_0096.bin,1632.jpg,640,384,6.01,1.0,0,0
97,image_0097.bin,1653.jpg,901,1615,85.58,0.7103,0,0
98,image_0098.bin,1676.jpg,640,384,44.77,1.0,0,0
99,image_0099.bin,1678.jpg,640,384,73.51,1.0,0,0
100,image_0100.bin,1728.jpg,2000,1858,61.39,0.32,0,0
101,image_0101.bin,1768.jpg,640,384,110.2,1.0,0,0
102,image_0102.bin,1776.jpg,640,384,30.28,1.0,0,0
103,image_0103.bin,1786.jpg,953,769,79.62,0.6716,0,0
104,image_0104.bin,1809.jpg,1920,1080,39.1,0.3333,0,0
105,image_0105.bin,1818.jpg,640,384,8.04,1.0,0,0
106,image_0106.bin,1838.jpg,640,384,168.21,1.0,0,0
107,image_0107.bin,1846.jpg,640,384,57.98,1.0,0,0
108,image_0108.bin,1876.jpg,1280,768,88.51,0.5,0,0
109,image_0109.bin,1894.jpg,640,384,43.26,1.0,0,0
110,image_0110.bin,1895.jpg,640,384,76.03,1.0,0,0
111,image_0111.bin,1939.jpg,640,384,71.63,1.0,0,0
112,image_0112.bin,1950.jpg,1012,2000,28.91,0.6324,0,0
113,image_0113.bin,1952.jpg,640,384,87.88,1.0,0,0
114,image_0114.bin,1961.jpg,640,384,32.32,1.0,0,0
115,image_0115.bin,1992.jpg,640,384,64.57,1.0,0,0
116,image_0116.bin,2010.jpg,1920,1080,37.73,0.3333,0,0
117,image_0117.bin,2049.jpg,1291,1665,82.07,0.4957,0,0
118,image_0118.bin,2060.jpg,1280,1024,7.26,0.5,0,0
119,image_0119.bin,2064.jpg,1280,768,50.08,0.5,0,0
120,image_0120.bin,2083.jpg,1280,1024,46.47,0.5,0,0
121,image_0121.bin,2109.jpg,640,384,65.02,1.0,0,0
122,image_0122.bin,2118.jpg,552,569,21.92,1.1594,0,0
123,image_0123.bin,2142.jpg,1920,1080,38.76,0.3333,0,0
124,image_0124.bin,2159.jpg,640,384,80.54,1.0,0,0
125,image_0125.bin,2179.jpg,640,384,62.91,1.0,0,0
126,image_0126.bin,2232.jpg,877,1649,85.9,0.7298,0,0
127,image_0127.bin,2234.jpg,1920,1080,37.72,0.3333,0,0
128,image_0128.bin,2242.jpg,640,384,3.09,1.0,0,0
129,image_0129.bin,2256.jpg,1625,1378,65.51,0.3938,0,0
130,image_0130.bin,2295.jpg,1920,1080,68.11,0.3333,0,0
131,image_0131.bin,2336.jpg,640,384,71.15,1.0,0,0
132,image_0132.bin,2337.jpg,1782,2000,42.65,0.3591,0,0
133,image_0133.bin,2347.jpg,840,991,91.2,0.7619,0,0
134,image_0134.bin,2366.jpg,869,637,36.32,0.7365,0,0
135,image_0135.bin,2386.jpg,1920,1080,75.75,0.3333,0,0
136,image_0136.bin,2409.jpg,640,384,137.41,1.0,0,0
137,image_0137.bin,2433.jpg,1951,1956,53.75,0.328,0,0
138,image_0138.bin,2446.jpg,720,432,28.87,0.8889,0,0
139,image_0139.bin,2452.jpg,640,384,40.26,1.0,0,0
140,image_0140.bin,2468.jpg,720,432,13.71,0.8889,0,0
141,image_0141.bin,2473.jpg,503,581,96.18,1.2724,0,0
142,image_0142.bin,2494.jpg,640,384,58.76,1.0,0,0
143,image_0143.bin,2503.jpg,640,384,35.96,1.0,0,0
144,image_0144.bin,2546.jpg,640,384,38.85,1.0,0,0
145,image_0145.bin,2563.jpg,1280,768,64.85,0.5,0,0
146,image_0146.bin,2596.jpg,691,786,58.31,0.9262,0,0
147,image_0147.bin,2601.jpg,640,480,81.15,1.0,0,0
148,image_0148.bin,2640.jpg,640,384,44.77,1.0,0,0
149,image_0149.bin,2654.jpg,1920,1080,77.84,0.3333,0,0
150,image_0150.bin,2675.jpg,640,384,21.58,1.0,0,0
151,image_0151.bin,2692.jpg,1280,768,49.29,0.5,0,0
152,image_0152.bin,2698.jpg,1280,768,55.74,0.5,0,0
153,image_0153.bin,2712.jpg,640,384,108.08,1.0,0,0
154,image_0154.bin,2725.jpg,640,384,24.35,1.0,0,0
155,image_0155.bin,2742.jpg,640,384,8.98,1.0,0,0
156,image_0156.bin,2755.jpg,640,384,32.77,1.0,0,0
157,image_0157.bin,2765.jpg,1734,1194,62.85,0.3691,0,0
158,image_0158.bin,2770.jpg,640,384,29.24,1.0,0,0
159,image_0159.bin,2793.jpg,640,384,83.2,1.0,0,0
160,image_0160.bin,2827.jpg,640,384,31.13,1.0,0,0
161,image_0161.bin,2831.jpg,1280,768,74.38,0.5,0,0
162,image_0162.bin,2877.jpg,777,1028,99.9,0.8237,0,0
163,image_0163.bin,2885.jpg,640,384,42.35,1.0,0,0
164,image_0164.bin,2905.jpg,640,384,77.11,1.0,0,0
165,image_0165.bin,2934.jpg,640,384,48.76,1.0,0,0
166,image_0166.bin,2960.jpg,484,663,97.05,1.3223,0,0
167,image_0167.bin,2962.jpg,640,384,130.52,1.0,0,0
168,image_0168.bin,2994.jpg,640,384,56.55,1.0,0,0
169,image_0169.bin,3000.jpg,640,384,7.87,1.0,0,0
170,image_0170.bin,3020.jpg,640,384,49.91,1.0,0,0
171,image_0171.bin,3037.jpg,1280,768,92.13,0.5,0,0
172,image_0172.bin,3046.jpg,1189,2000,57.94,0.5383,0,0
