frame,n_cand@0.1,max_conf,top1_conf,top1_pts,top1_tag,top1_color,top1_size
1460,10,0.8745,0.8745,"(476,249);(474,260);(498,252);(496,263)",4,1,0
990,10,0.8743,0.8743,"(389,271);(387,282);(411,272);(410,284)",4,1,0
1545,10,0.8741,0.8741,"(343,287);(342,297);(366,289);(365,299)",4,1,0
595,9,0.8737,0.8737,"(205,246);(204,255);(227,247);(226,257)",4,1,0
820,10,0.8728,0.8728,"(214,152);(213,162);(238,153);(237,163)",4,1,0
665,10,0.8724,0.8724,"(421,178);(419,188);(444,180);(442,190)",4,1,0
325,10,0.8723,0.8723,"(391,189);(389,199);(414,190);(413,201)",4,1,0
735,10,0.8722,0.8722,"(279,255);(279,266);(302,256);(302,267)",4,1,0
1600,10,0.8722,0.8722,"(361,253);(360,264);(383,255);(382,266)",4,1,0
435,10,0.872,0.872,"(263,224);(261,235);(285,226);(284,237)",4,1,0
635,10,0.8713,0.8713,"(277,189);(276,199);(299,190);(298,200)",4,1,0
1530,10,0.8693,0.8693,"(456,289);(455,299);(479,291);(478,301)",4,1,0
410,10,0.8691,0.8691,"(264,255);(262,265);(287,256);(286,266)",4,1,0
495,11,0.8662,0.8662,"(388,187);(386,196);(410,189);(409,199)",4,1,0
1120,10,0.8662,0.8662,"(258,303);(257,312);(280,303);(279,313)",4,1,0
535,9,0.8648,0.8648,"(365,191);(363,200);(387,192);(386,202)",4,1,0
1300,10,0.8646,0.8646,"(258,276);(256,285);(279,277);(278,286)",4,1,0
780,10,0.8621,0.8621,"(339,224);(337,234);(361,225);(360,236)",4,1,0
680,10,0.8619,0.8619,"(418,180);(416,189);(440,182);(439,192)",4,1,0
280,10,0.8537,0.8537,"(299,250);(298,261);(321,252);(321,262)",4,1,0
225,10,0.852,0.852,"(267,255);(266,265);(289,256);(288,266)",4,1,0
865,11,0.8519,0.8519,"(331,192);(330,202);(354,193);(352,204)",4,1,0
1385,10,0.848,0.848,"(322,142);(321,151);(345,143);(344,153)",4,1,0
1430,10,0.8058,0.8058,"(342,262);(341,270);(365,263);(364,272)",4,1,0
